username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
|2017-03-17 11:15|0|0|"Renault : soupçons de triche sur les émissions Diesel, le constructeur nie... http:// bit.ly/2n3dzlt http:// fb.me/cg296JPBb"||||"842680668006105088"|https://twitter.com/turbofr/status/842680668006105088
|2017-03-17 10:52|1|1|"Comment financer son permis B grâce au compte personnel de formation ? http:// bit.ly/2nyOqx1"||||"842674886158024704"|https://twitter.com/turbofr/status/842674886158024704
|2017-03-17 09:13|1|1|"#vidéo : Voici la version Performance de la Volkswagen Golf R ! http:// bit.ly/2mThhxr http:// fb.me/5ROglERt8"|||#vidéo|"842649966107607040"|https://twitter.com/turbofr/status/842649966107607040
|2017-03-17 09:06|1|1|"Mark Zuckerberg prend des leçons de Nascar avec Dale Earnhardt Jr. http:// bit.ly/2ng6QoY"||||"842648209805770752"|https://twitter.com/turbofr/status/842648209805770752
|2017-03-16 21:16|5|9|"Revenons sur 10 voitures de rallye mythiques de l'histoire du sport automobile ! http:// bit.ly/2ieibzF http:// fb.me/5SNFib9YV"||||"842469532400771072"|https://twitter.com/turbofr/status/842469532400771072
|2017-03-16 19:25|3|2|"#vidéo : Voici la nouvelle Suzuki GSX-R1000 : 4 cylindres en ligne développant 202 chevaux, 999,8 cm3, boite à 6... http:// fb.me/1P8SlTS2v"|||#vidéo|"842441605172846593"|https://twitter.com/turbofr/status/842441605172846593
|2017-03-16 19:10|7|5|"Conseils pratiques : quand faut-il retirer ses pneus neige ou hiver ? http:// bit.ly/2nwqvxS"||||"842437822468509697"|https://twitter.com/turbofr/status/842437822468509697
|2017-03-16 17:39|2|4|"Volvo Cars n'a pas perdu de temps ! Après avoir dévoilé son XC60 il y a une semaine, la marque a dévoilé mercredi... http:// fb.me/1fmyHRzz0"||||"842414949292990464"|https://twitter.com/turbofr/status/842414949292990464
|2017-03-16 17:16|2|0|"Renault : soupçons de triche sur les émissions Diesel, le constructeur nie http:// bit.ly/2ne24YQ"||||"842409136574873600"|https://twitter.com/turbofr/status/842409136574873600
|2017-03-16 16:04|5|4|"Volkswagen Golf R : la nouvelle version Performance se montre en vidéo http:// bit.ly/2ndP71b"||||"842391011544440838"|https://twitter.com/turbofr/status/842391011544440838
|2017-03-16 15:15|4|1|"Une véritable avancée pour les futurs automobilistes, et les demandeurs d'emploi ! http:// bit.ly/2n2jk2R http:// fb.me/3oRyH9i0f"||||"842378688805122049"|https://twitter.com/turbofr/status/842378688805122049
|2017-03-16 13:10|6|2|"La police nantaise n'a pas dû en croire ses yeux http:// bit.ly/2mwNhVE http:// fb.me/2VDEARorJ"||||"842347327725699072"|https://twitter.com/turbofr/status/842347327725699072
|2017-03-16 11:36|1|1|"Suzuki : la nouvelle GSX-R1000 fait vrombir son 4 cylindres en vidéo http:// bit.ly/2nuXPVY"||||"842323570617376768"|https://twitter.com/turbofr/status/842323570617376768
|2017-03-16 11:00|1|1|"Porsche : découvrez les meilleurs concept-cars de la marque en vidéo http:// fb.me/1POhIt1Qa"||||"842314651513827333"|https://twitter.com/turbofr/status/842314651513827333
|2017-03-16 10:28|1|2|"XC60 : Volvo dévoile les prix de la nouvelle version de son SUV http:// bit.ly/2nuQVAb"||||"842306462059765760"|https://twitter.com/turbofr/status/842306462059765760
|2017-03-16 08:52|3|4|"Nantes : interpellé au volant d'une voiture volée, il n'avait que 12 ans http:// bit.ly/2nuGvAx"||||"842282297965580290"|https://twitter.com/turbofr/status/842282297965580290
|2017-03-16 08:41|2|3|"Audi nous gratifie d'une vidéo pour nous présenter l'Audi Q8 Sport Concept. Découvrez-là http:// fb.me/4wjwUsrfy"||||"842279620397400066"|https://twitter.com/turbofr/status/842279620397400066
|2017-03-15 20:30|5|6|"Antoine Arnoux a parcouru 1 000 kilomètres en Tesla Model X. http:// fb.me/1Xc6bkd4w"||||"842095635453087744"|https://twitter.com/turbofr/status/842095635453087744
|2017-03-15 18:28|1|0|"Financez votre permis de conduire grâce au compte personnel de formation http:// bit.ly/2mOEIYN"||||"842064868220014594"|https://twitter.com/turbofr/status/842064868220014594
|2017-03-15 18:10|2|7|"Peugeot Sport s'engage dans le Silk Way Rally, le rallye de la route de la soie http:// fb.me/XuGsDlNa"||||"842060361952055296"|https://twitter.com/turbofr/status/842060361952055296
|2017-03-15 17:34|2|2|"Des feux tricolores sur les bretelles d'autoroutes en Île-de-France ? http:// bit.ly/2nEZZ51"||||"842051275961335808"|https://twitter.com/turbofr/status/842051275961335808
|2017-03-15 16:24|3|2|"Tata Tamo Racemo : le petit coupé indien dévoilé à Genève se montre en images http:// bit.ly/2mOhRN7"||||"842033660622737408"|https://twitter.com/turbofr/status/842033660622737408
|2017-03-15 16:02|1|0|"Après les bonnes notes, les mauvaises. Déjà trois modèles sont sous les 4 étoiles aux tests Euro NCAP en 2017 http:// fb.me/yZeW4e5G"||||"842028154382344196"|https://twitter.com/turbofr/status/842028154382344196
|2017-03-15 15:10|1|2|"Porsche : le Top 5 des meilleurs concept-cars présentés en vidéo http:// bit.ly/2mNPSx0"||||"842015040895082496"|https://twitter.com/turbofr/status/842015040895082496
|2017-03-15 13:55|5|3|"Une Bugatti Chiron ne vous suffit pas ? Prenez aussi le Yacht assorti http:// fb.me/Ke16vSyJ"||||"841996177138679809"|https://twitter.com/turbofr/status/841996177138679809
|2017-03-15 13:50|4|7|"Diaporama : Tesla Model X 90D, les photos de notre essai longue durée http:// bit.ly/2mNvQ5M"||||"841994910840549376"|https://twitter.com/turbofr/status/841994910840549376
|2017-03-15 11:55|2|3|"Le constructeur suédois nous fait revivre 90 années de voitures Volvo http:// fb.me/8kxPT78Aa"||||"841965988631453700"|https://twitter.com/turbofr/status/841965988631453700
